id,battery_lvl,last_position,city_id,created_at,is_available
1,40,POINT (13.0678199999999993 55.5778589999999966),3,2024-12-30 02:27:31.503104,True
2,66,POINT (13.0511850000000003 55.5878179999999986),3,2024-02-02 02:55:35.051567,True
3,35,POINT (13.0939770000000006 55.5295800000000028),3,2024-06-16 02:24:22.664802,True
4,1,POINT (12.9415870000000002 55.5707489999999993),3,2024-04-22 13:31:50.663321,True
5,93,POINT (13.0175099999999997 55.6092020000000034),3,2024-04-16 15:33:53.304645,True
1199584873714315,56,POINT (13.0306060000000006 55.5763140000000035),3,2024-07-25 23:40:39.490021,False
1199584873714316,2,POINT (13.1079310000000007 55.5366590000000002),3,2024-02-04 10:55:59.204528,True
1199584873714317,38,POINT (12.9041200000000007 55.5722560000000030),3,2024-11-14 10:43:00.070136,True
1199584873714318,80,POINT (13.0911259999999992 55.5999020000000002),3,2024-07-07 05:42:52.756666,True
1199584873714319,43,POINT (12.9881530000000005 55.5993089999999981),3,2024-09-13 09:01:08.054949,True
1199584873714320,71,POINT (13.008380358338643 55.59145733568847),3,2024-07-17 19:10:07.194793,True
1199584873714321,17,POINT (13.0049530000000004 55.5210250000000016),3,2024-01-24 09:05:34.690136,True
1199584873714322,88,POINT (13.0213739999999998 55.5555430000000001),3,2024-05-15 10:59:23.311230,False
1199584873714323,29,POINT (13.0200160000000000 55.5793409999999994),3,2024-05-18 07:15:38.290455,False
1199584873714324,33,POINT (13.0223049999999994 55.5660829999999990),3,2024-03-19 18:14:39.565704,True
1199584873714325,90,POINT (13.008398151861314 55.59146496137821),3,2024-02-21 14:35:59.237546,True
1199584873714326,65,POINT (13.1045149999999992 55.5431159999999977),3,2024-08-29 03:36:06.771708,True
1199584873714327,70,POINT (12.9915090000000006 55.5551040000000000),3,2024-12-13 09:19:35.239999,False
1199584873714328,67,POINT (12.9621399999999998 55.5661119999999968),3,2024-03-23 08:24:40.042616,False
1199584873714329,39,POINT (13.0248960000000000 55.5797579999999982),3,2024-07-24 13:34:19.550631,True
1199584873714330,25,POINT (13.008173892443395 55.59146981678649),3,2024-06-03 14:04:16.692992,True
1199584873714331,90,POINT (13.0937889999999992 55.5993980000000008),3,2024-12-28 10:14:02.692875,True
1199584873714332,1,POINT (13.0606760000000008 55.5958710000000025),3,2024-12-05 22:39:42.428087,True
1199584873714333,41,POINT (13.0708540000000006 55.6094259999999991),3,2024-06-11 04:33:05.418423,True
1199584873714334,62,POINT (12.9184459999999994 55.5543290000000027),3,2024-12-06 07:04:13.153950,True
1199584873714335,86,POINT (13.008462990978131 55.591461032952964),3,2024-06-24 13:26:28.719480,True
1199584873714336,72,POINT (12.9850139999999996 55.6143920000000023),3,2025-01-10 13:06:17.264098,True
1199584873714337,24,POINT (12.9377069999999996 55.5562499999999986),3,2024-05-14 11:14:36.612844,True
1199584873714338,84,POINT (12.9291009999999993 55.5311239999999984),3,2024-08-24 15:50:24.513715,True
1199584873714339,84,POINT (12.9184830000000002 55.5546750000000031),3,2024-06-29 23:10:41.090102,True
1199584873714340,72,POINT (13.008164866555184 55.59145306038265),3,2024-08-14 07:04:23.449489,True
1199584873714341,77,POINT (12.9993870000000005 55.6098920000000021),3,2024-11-03 11:40:27.904030,True
1199584873714342,15,POINT (12.9934659999999997 55.5761180000000010),3,2024-12-07 16:23:42.895399,True
