id,battery_lvl,last_position,city_id,created_at
1,45,POINT(13.0038 55.6050),3,2024-08-27 16:01:08.744908
2,95,POINT(13.0038 55.6050),3,2023-12-24 06:24:11.479140
3,22,POINT(13.0038 55.6050),3,2024-04-21 21:49:43.936231
4,39,POINT(13.0038 55.6050),3,2024-10-05 19:52:25.545951
5,45,POINT(13.0038 55.6050),3,2024-10-25 03:00:01.819367
6,39,POINT(13.0038 55.6050),3,2024-07-26 07:16:40.145032
7,86,POINT(13.0038 55.6050),3,2024-08-24 12:09:38.085155
8,58,POINT(13.0038 55.6050),3,2023-12-20 14:08:38.438343
9,71,POINT(13.0038 55.6050),3,2024-05-25 04:20:11.622194
10,60,POINT(13.0038 55.6050),3,2024-05-08 11:03:20.249467
11,79,POINT(13.0038 55.6050),3,2024-08-21 23:25:27.596504
12,44,POINT(13.0038 55.6050),3,2023-12-31 06:35:42.372795
13,72,POINT(13.0038 55.6050),3,2024-07-03 09:35:58.776832
14,11,POINT(13.0038 55.6050),3,2024-10-30 07:55:18.183276
15,43,POINT(13.0038 55.6050),3,2024-10-24 21:25:51.293658
16,9,POINT(13.0038 55.6050),3,2024-02-13 12:38:36.810039
17,80,POINT(13.0038 55.6050),3,2024-04-14 17:04:22.669468
18,69,POINT(13.0038 55.6050),3,2024-05-20 11:14:09.046745
19,51,POINT(13.0038 55.6050),3,2024-04-21 05:21:22.138536
20,73,POINT(13.0038 55.6050),3,2023-12-18 08:02:34.744895
21,30,POINT(13.0038 55.6050),3,2024-05-30 16:57:45.370676
22,1,POINT(13.0038 55.6050),3,2024-09-28 13:31:47.665221
23,51,POINT(13.0038 55.6050),3,2024-06-14 09:24:44.174650
24,39,POINT(13.0038 55.6050),3,2024-02-08 08:14:18.478355
25,35,POINT(13.0038 55.6050),3,2024-09-23 04:25:41.868792
26,57,POINT(13.0038 55.6050),3,2024-05-20 01:27:31.563439
27,85,POINT(13.0038 55.6050),3,2024-09-05 01:23:21.335017
28,99,POINT(13.0038 55.6050),3,2024-10-07 07:09:41.093088
29,100,POINT(13.0038 55.6050),3,2024-10-03 03:25:06.221869
30,94,POINT(13.0038 55.6050),3,2024-01-31 13:12:23.697261
31,65,POINT(13.0038 55.6050),3,2024-05-07 21:29:23.104447
32,79,POINT(13.0038 55.6050),3,2024-07-09 05:16:07.420187
33,29,POINT(13.0038 55.6050),3,2024-06-28 16:13:42.279989
34,34,POINT(13.0038 55.6050),3,2024-03-06 16:20:48.163900
35,58,POINT(13.0038 55.6050),3,2024-07-02 20:29:36.925974
36,46,POINT(13.0038 55.6050),3,2024-06-09 16:10:50.518858
37,38,POINT(13.0038 55.6050),3,2024-07-02 18:15:00.994924
38,100,POINT(13.0038 55.6050),3,2024-11-26 18:13:43.228355
39,99,POINT(13.0038 55.6050),3,2024-05-15 03:14:12.638389
40,80,POINT(13.0038 55.6050),3,2024-06-14 17:42:45.976731
41,62,POINT(13.0038 55.6050),3,2024-11-17 20:28:22.736096
42,71,POINT(13.0038 55.6050),3,2024-08-08 03:38:39.856678
43,69,POINT(13.0038 55.6050),3,2024-01-17 22:17:32.080712
44,32,POINT(13.0038 55.6050),3,2024-07-27 20:14:44.611220
45,38,POINT(13.0038 55.6050),3,2024-07-19 04:39:56.478479
46,65,POINT(13.0038 55.6050),3,2024-08-23 21:49:43.825254
47,72,POINT(13.0038 55.6050),3,2024-04-07 02:35:42.014758
48,2,POINT(13.0038 55.6050),3,2024-04-23 13:21:27.076120
49,40,POINT(13.0038 55.6050),3,2024-05-07 07:58:02.536094
50,30,POINT(13.0038 55.6050),3,2024-10-08 22:58:24.219568
51,14,POINT(13.0038 55.6050),3,2024-08-19 22:49:40.965513
52,93,POINT(13.0038 55.6050),3,2024-11-21 21:59:20.458003
